Lettuce color,DATE,catalog id,Illumination,Leaf sample weight in grams,Sample circle weight - grams,Anthocyanin OD-530nm,Chlorophyll OD-657nm,Chlorophyll interference,Anthocyanin
R,22/01/2026,R1,White+Blue LED,0.28,0.03,0.3925,0.33,0.083,0.31
R,22/01/2026,R2,White+Blue LED,0.23,0.03,0.3881,0.3722,0.093,0.295
R,22/01/2026,R3,White+Blue LED,0.26,0.03,0.7414,0.3024,0.076,0.666
R,22/01/2026,R4,White+Blue LED,0.3,0.03,0.5073,0.3515,0.088,0.419
R,22/01/2026,R5,White+Blue LED,0.27,0.03,0.6603,0.4201,0.105,0.555
G,22/01/2026,G1,White+Blue LED,0.3,0.03,0.1448,0.3915,0.098,0.047
G,22/01/2026,G2,White+Blue LED,0.39,0.03,0.1571,0.4929,0.123,0.034
G,22/01/2026,G3,White+Blue LED,0.3,0.03,0.1801,0.5365,0.134,0.046
G,22/01/2026,G4,White+Blue LED,0.36,0.03,0.1331,0.3784,0.095,0.039
G,22/01/2026,G5,White+Blue LED,0.38,0.03,0.167,0.4053,0.101,0.066
R,29/01/2026,R1,White+Blue LED,0.16,0.03,0.0361,0.5897,0.147,-0.111
R ,29/01/2026,R2,White+Blue LED,0.31,0.03,0.9322,0.8433,0.211,0.721
R ,29/01/2026,R3,White+Blue LED,0.27,0.03,1.0894,0.7536,0.188,0.901
R ,29/01/2026,R4,White+Blue LED,0.17,0.03,1.141,0.4633,0.116,1.025
R ,29/01/2026,R5,White+Blue LED,0.24,0.03,0.9879,0.6451,0.161,0.827
R ,29/01/2026,R6,White LED,0.26,0.03,1.1732,0.7997,0.2,0.973
R ,29/01/2026,R7,White LED,0.31,0.03,1.2289,0.7585,0.19,1.039
R ,29/01/2026,R8,White LED,0.29,0.03,1.2612,0.8322,0.208,1.053
R ,29/01/2026,R9,White LED,0.28,0.03,1.0791,0.736,0.184,0.895
R ,29/01/2026,R10,White LED,0.26,0.03,1.0864,0.7774,0.194,0.892
R ,29/01/2026,R11,Shade,0.18,0.03,0.6393,0.6194,0.155,0.531
R ,29/01/2026,R12,Shade,0.23,0.03,0.6855,0.4801,0.12,0.838
R ,29/01/2026,R13,Shade,0.21,0.03,0.9584,0.5563,0.139,0.871
R ,29/01/2026,R14,Shade,0.24,0.03,1.0099,0.5701,0.143,0.867
G,29/01/2026,G1,White+Blue LED,0.49,0.03,0.2188,0.6298,0.157,0.061
G,29/01/2026,G2,White+Blue LED,0.26,0.03,0.3304,0.5774,0.144,0.186
G,29/01/2026,G3,White+Blue LED,0.57,0.03,0.2228,0.6673,0.167,0.056
G,29/01/2026,G4,White+Blue LED,0.83,0.03,0.2203,0.68,0.17,0.05
G,29/01/2026,G6,White LED,0.43,0.03,0.2088,0.6699,0.167,0.041
G,29/01/2026,G7,White LED,0.78,0.03,0.2685,0.838,0.21,0.059
G,29/01/2026,G8,White LED,0.81,0.03,0.1776,0.5442,0.136,0.042
G,29/01/2026,G9,White LED,1.43,0.03,0.2185,0.6846,0.171,0.459
G,29/01/2026,G10,White LED,0.74,0.03,0.1685,0.5043,0.126,0.451
G,29/01/2026,G11,Shade,0.36,0.03,0.1727,0.4429,0.111,0.557
G,29/01/2026,G12,Shade,0.62,0.03,0.1768,0.5643,0.141,0.539
G,29/01/2026,G13,Shade,0.57,0.03,0.1475,0.422,0.106,-0.106
G,29/01/2026,G14,Shade,0.51,0.03,0.1684,0.4839,0.121,0.549
G,29/01/2026,G15,Shade,0.6,0.03,0.1852,0.5041,0.126,0.712
R,29/01/2026,C1,Control-Sun,0.31,0.03,1.2705,0.7285,0.182,1.088
R,29/01/2026,C2,Control-Sun,0.28,0.03,1.1824,0.806,0.202,0.981
R,29/01/2026,C3,Control-Sun,0.33,0.03,1.2156,0.6871,0.172,1.044
R,29/01/2026,C4,Control-Sun,0.2,0.03,1.0981,0.7113,0.178,0.92
R,29/01/2026,C5,Control-Sun,0.51,0.03,1.1935,0.7553,0.189,1.005
G,29/01/2026,C6,Control-Sun,0.73,0.03,0.1348,0.3783,0.095,0.04
G,29/01/2026,C7,Control-Sun,0.46,0.03,0.1764,0.4966,0.124,0.052
G,29/01/2026,C8,Control-Sun,0.71,0.03,0.1768,0.5514,0.138,0.039
G,29/01/2026,C9,Control-Sun,0.84,0.03,0.1991,0.5921,0.148,0.051
G,29/01/2026,C10,Control-Sun,0.77,0.03,0.1586,0.4756,0.119,0.04
R,05/02/2026,R1,White+Blue LED,0.41,0.03,1.172,0.676,0.169,1.003
R,05/02/2026,R2,White+Blue LED,0.77,0.03,0.7968,1.0202,0.255,0.542
R,05/02/2026,R3,White+Blue LED,0.81,0.03,0.9161,1.0121,0.253,0.663
R,05/02/2026,R4,White+Blue LED,0.33,0.03,0.893,0.9543,0.239,0.654
R,05/02/2026,R5,White+Blue LED,0.35,0.03,1.2819,0.8524,0.213,1.069
R,05/02/2026,R6,White LED,0.41,0.03,1.0707,0.9849,0.246,0.824
R,05/02/2026,R7,White LED,0.6,0.03,1.0198,1.1908,0.298,0.722
R,05/02/2026,R8,White LED,0.75,0.03,1.318,1.0201,0.255,1.063
R,05/02/2026,R9,White LED,0.39,0.03,1.3738,0.9998,0.25,1.124
R,05/02/2026,R10,White LED,0.31,0.03,1.7297,1.118,0.28,1.45
R,05/02/2026,R11,Shade,0.35,0.03,1.3303,1.1203,0.28,0.505
R,05/02/2026,R12,Shade,0.51,0.03,0.7855,1.1492,0.287,1.352
R,05/02/2026,R13,Shade,0.33,0.03,1.6396,0.9694,0.242,1.132
R,05/02/2026,R14,Shade,0.3,0.03,1.3747,0.9608,0.24,1.585
R,05/02/2026,R15,Shade,0.29,0.03,1.8254,0.9992,0.25,1.576
G,05/02/2026,G1,White+Blue LED,1.85,0.03,0.3696,1.2684,0.317,0.053
G,05/02/2026,G2,White+Blue LED,1.77,0.03,0.3599,1.2457,0.311,0.048
G,05/02/2026,G3,White+Blue LED,1.93,0.03,0.3238,1.0911,0.273,0.051
G,05/02/2026,G4,White+Blue LED,1.02,0.03,0.623,1.601,0.4,0.223
G,05/02/2026,G5,White+Blue LED,0.93,0.03,0.2541,0.8175,0.204,0.05
G,05/02/2026,G6,White LED,2.26,0.03,0.3094,1.0511,0.263,0.047
G,05/02/2026,G7,White LED,1.98,0.03,0.2159,0.6812,0.17,0.046
G,05/02/2026,G8,White LED,1.96,0.03,0.2167,0.7025,0.176,0.041
G,05/02/2026,G9,White LED,1.44,0.03,0.2669,0.8607,0.215,1.053
G,05/02/2026,G10,White LED,1.99,0.03,0.2218,0.7207,0.18,1.066
G,05/02/2026,G11,Shade,1.06,0.03,0.1828,0.5592,0.14,0.951
G,05/02/2026,G12,Shade,0.76,0.03,0.1959,0.626,0.157,1.445
G,05/02/2026,G13,Shade,1.36,0.03,0.187,0.5587,0.14,0.678
G,05/02/2026,G14,Shade,0.47,0.03,0.1743,0.5371,0.134,0.917
G,05/02/2026,G15,Shade,0.7,0.03,0.1915,0.5727,0.143,0.538
R,05/02/2026,C1,Control-Sun,0.46,0.03,1.0863,0.8226,0.206,0.881
R,05/02/2026,C2,Control-Sun,0.35,0.03,1.1237,0.7602,0.19,0.934
R,05/02/2026,C3,Control-Sun,0.38,0.03,1.0479,0.602,0.151,0.897
R,05/02/2026,C4,Control-Sun,0.42,0.03,0.9242,0.6501,0.163,0.762
R,05/02/2026,C5,Control-Sun,0.48,0.03,1.1697,0.649,0.162,1.007
G,05/02/2026,C6,Control-Sun,0.8,0.03,0.1936,0.5964,0.149,0.045
G,05/02/2026,C7,Control-Sun,1.62,0.03,0.1823,0.5704,0.143,0.04
G,05/02/2026,C8,Control-Sun,0.78,0.03,0.1946,0.5716,0.143,0.052
G,05/02/2026,C9,Control-Sun,1.54,0.03,0.2088,0.6476,0.162,0.047
G,05/02/2026,C10,Control-Sun,1.46,0.03,0.2559,0.748,0.187,0.069
