color,catalog id,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin
R,R1,0.42,0.03,0.3447,0.4428,0.111,0.234
R,R2,1.2,0.03,0.4441,0.7598,0.190,0.254
R,R3,0.38,0.03,0.5158,0.5741,0.144,0.372
R,R4,0.78,0.03,0.3692,0.5843,0.146,0.223
R,R5,1.6,0.03,0.4115,0.4563,0.114,0.297
R,R6,0.77,0.03,0.3906,0.5912,0.148,0.243
R,R7,0.92,0.03,0.4189,0.6681,0.167,0.252
R,R8,0.82,0.03,0.4001,0.6581,0.165,0.236
R,R9,0.94,0.03,0.3971,0.6621,0.166,0.232
R,R10,0.53,0.03,0.3766,0.5876,0.147,0.230
R,R11,0.52,0.03,0.4445,0.8693,0.217,0.227
R,R12,0.36,0.03,0.4124,0.6571,0.164,0.248
R,R13,0.31,0.03,0.3879,0.4841,0.121,0.267
R,R14,0.57,0.03,0.3571,0.5738,0.143,0.214
R,R15,0.45,0.03,0.3403,0.5243,0.131,0.209
G,G1,1.37,0.03,0.1367,0.3499,0.087,0.049
G,G2,1.3,0.03,0.1486,0.4449,0.111,0.037
G,G3,1.02,0.03,0.1177,0.2626,0.066,0.052
G,G4,1.43,0.03,0.1360,0.3986,0.100,0.036
G,G5,1.07,0.03,0.1326,0.3809,0.095,0.037
G,G6,1.51,0.03,0.1095,0.2889,0.072,0.037
G,G7,0.98,0.03,0.1572,0.4775,0.119,0.038
G,G8,1.23,0.03,0.1188,0.3512,0.088,0.031
G,G9,0.93,0.03,0.1364,0.3635,0.091,0.046
G,G10,1.53,0.03,0.1300,0.3798,0.095,0.035
G,G11,0.88,0.03,0.1282,0.3164,0.079,0.049
G,G12,0.72,0.03,0.1259,0.3516,0.088,0.038
G,G13,0.76,0.03,0.1122,0.2965,0.074,0.038
G,G14,0.49,0.03,0.1265,0.3537,0.088,0.038
G,G15,0.7,0.03,0.1363,0.3911,0.098,0.039
C,C1,0.38,0.03,0.4537,0.3259,0.081,0.372
C,C2,0.42,0.03,0.7704,0.4259,0.106,0.664
C,C3,0.79,0.03,0.6139,0.6157,0.154,0.460
C,C4,0.48,0.03,0.5629,0.5422,0.136,0.427
C,C5,0.29,0.03,0.6089,0.3531,0.088,0.521
C,C6,0.66,0.03,0.1153,0.2914,0.073,0.042
C,C7,1.75,0.03,0.1715,0.4975,0.124,0.047
C,C8,0.9,0.03,0.1173,0.3287,0.082,0.035
C,C9,0.67,0.03,0.1455,0.3441,0.086,0.059
C,C10,0.5,0.03,0.1059,0.2438,0.061,0.045
