DATE,Luttece color,catalog id,Chlorophyll interference,Anthocyanin
22.01.26,RED,R1,0.083,0.31
22.01.26,RED,R2,0.093,0.295
22.01.26,RED,R3,0.076,0.666
22.01.26,RED,R4,0.088,0.419
22.01.26,RED,R5,0.105,0.555
22.01.26,GREEN,G1,0.098,0.047
22.01.26,GREEN,G2,0.123,0.034
22.01.26,GREEN,G3,0.134,0.046
22.01.26,GREEN,G4,0.095,0.039
22.01.26,GREEN,G5,0.101,0.066
05.02.26,RED,R1,0.169,1.003
05.02.26,RED,R2,0.255,0.542
05.02.26,RED,R3,0.253,0.663
05.02.26,RED,R4,0.239,0.654
05.02.26,RED,R5,0.213,1.069
05.02.26,RED,R6,0.246,0.824
05.02.26,RED,R7,0.298,0.722
05.02.26,RED,R8,0.255,1.063
05.02.26,RED,R9,0.25,1.124
05.02.26,RED,R10,0.28,1.45
05.02.26,RED,R11,0.28,0.505
05.02.26,RED,R12,0.287,1.352
05.02.26,RED,R13,0.242,1.132
05.02.26,RED,R14,0.24,1.585
05.02.26,GREEN,G1,0.317,0.053
05.02.26,GREEN,G2,0.311,0.048
05.02.26,GREEN,G3,0.273,0.051
05.02.26,GREEN,G4,0.4,0.223
05.02.26,GREEN,G5,0.204,0.05
05.02.26,GREEN,G6,0.263,0.047
05.02.26,GREEN,G7,0.17,0.046
05.02.26,GREEN,G8,0.176,0.041
05.02.26,GREEN,G9,0.215,1.053
05.02.26,GREEN,G10,0.18,1.066
05.02.26,GREEN,G11,0.14,0.951
05.02.26,GREEN,G12,0.157,1.445
05.02.26,GREEN,G13,0.14,0.678
05.02.26,GREEN,G14,0.134,0.917
05.02.26,GREEN,G15,0.143,0.538
05.02.26,GREEN,G1,0.206,0.881
05.02.26,GREEN,G2,0.19,0.934
05.02.26,GREEN,G3,0.151,0.897
05.02.26,GREEN,G4,0.163,0.762
05.02.26,GREEN,G5,0.162,1.007
05.02.26,GREEN,G6,0.149,0.045
05.02.26,GREEN,G7,0.143,0.04
05.02.26,GREEN,G8,0.143,0.052
05.02.26,GREEN,G9,0.162,0.047
05.02.26,GREEN,G10,0.187,0.069
